CATEGORY	TICKER	DATE	OPEN	CLOSE
Crypto	BTC-USD	2020-09-03	11395.49	10172.52
Crypto	ETH-USD	2020-09-04	382.15	385.82
Crypto	BTC-USD	2020-09-04	10165	10455.28
Crypto	ETH-USD	2020-09-05	386.36	335.26
Crypto	BTC-USD	2020-09-05	10455.16	10165.84
Crypto	ETH-USD	2020-09-06	334.957	352.51
Crypto	BTC-USD	2020-09-06	10169.58	10257.86
Crypto	ETH-USD	2020-09-07	353.52	353.71
Crypto	BTC-USD	2020-09-07	10258.93	10397.391305
Crypto	ETH-USD	2020-09-08	354.63	337.215
Crypto	BTC-USD	2020-09-08	10400	10125.69
Crypto	ETH-USD	2020-09-09	337.48	351.29
Crypto	BTC-USD	2020-09-09	10125.7	10224.56
Crypto	ETH-USD	2020-09-10	350.86	368.06
Crypto	BTC-USD	2020-09-10	10224.56	10343.23
Crypto	ETH-USD	2020-09-11	367.94	373.93
Crypto	BTC-USD	2020-09-11	10344.24	10394.41
Crypto	ETH-USD	2020-09-12	373.93	388.1
Crypto	BTC-USD	2020-09-12	10394.41	10443.33
Crypto	ETH-USD	2020-09-13	387.72	366.25
Crypto	BTC-USD	2020-09-13	10446.52	10336.76
Crypto	ETH-USD	2020-09-14	366.51	377.43
Crypto	BTC-USD	2020-09-14	10328.2	10679.95
Crypto	ETH-USD	2020-09-15	377.142	364.2
Crypto	BTC-USD	2020-09-15	10689.93207785	10783.75
Crypto	ETH-USD	2020-09-16	364.05	365.23
Crypto	BTC-USD	2020-09-16	10797.99361605	10951.1
Crypto	ETH-USD	2020-09-17	365	389.45
Crypto	BTC-USD	2020-09-17	10956.63	10943.61
Crypto	ETH-USD	2020-09-18	389.59	384.45
Crypto	BTC-USD	2020-09-18	10938.92	10937.52
Crypto	ETH-USD	2020-09-19	384.6	385.117
Crypto	BTC-USD	2020-09-19	10957.05507792	11098
Crypto	ETH-USD	2020-09-20	385.25	371.04
Crypto	BTC-USD	2020-09-20	11081.09	10920.89
Crypto	ETH-USD	2020-09-21	371.62	340.11
Crypto	BTC-USD	2020-09-21	10935	10416.82
Crypto	ETH-USD	2020-09-22	341	344.26
Crypto	BTC-USD	2020-09-22	10416.83	10531.13
Crypto	ETH-USD	2020-09-23	344.25	320.63
Crypto	BTC-USD	2020-09-23	10531.13	10230.7
Crypto	ETH-USD	2020-09-24	320.18	349.14
Crypto	BTC-USD	2020-09-24	10266	10740.01
Crypto	ETH-USD	2020-09-25	349.14	351.9
Crypto	BTC-USD	2020-09-25	10740	10690.53
Crypto	ETH-USD	2020-09-26	351.9	353.7
